osm_id,path,level,name
20657037,TR.06.004.0011,NEIGHBORHOOD,Belçarşak Mahallesi
20251541,TR.06.004.0012,NEIGHBORHOOD,Beynam Mahallesi
20657038,TR.06.004.0013,NEIGHBORHOOD,Büyükbayat Mahallesi
20657039,TR.06.004.0014,NEIGHBORHOOD,Büyükboyalık Mahallesi
20657044,TR.06.004.0015,NEIGHBORHOOD,Büyükcamili Mahallesi
20657040,TR.06.004.0016,NEIGHBORHOOD,Çatalçeşme Mahallesi
20657041,TR.06.004.0017,NEIGHBORHOOD,Çatalören Mahallesi
20657042,TR.06.004.0018,NEIGHBORHOOD,Çiğdemli Mahallesi
1809668,TR.06.004.0019,NEIGHBORHOOD,Davdanlı Mahallesi
20657047,TR.06.004.0020,NEIGHBORHOOD,Derekışla Mahallesi
20657653,TR.06.004.0021,NEIGHBORHOOD,Eğribasan Mahallesi
20383969,TR.06.004.0022,NEIGHBORHOOD,Engin Mahallesi
20340656,TR.06.004.0023,NEIGHBORHOOD,Göztepe Mahallesi
20657655,TR.06.004.0024,NEIGHBORHOOD,Gülbağı Mahallesi
20340657,TR.06.004.0025,NEIGHBORHOOD,Hamidiye Mahallesi
20657656,TR.06.004.0026,NEIGHBORHOOD,Hanburun Mahallesi
20340658,TR.06.004.0027,NEIGHBORHOOD,İsmetpaşa Mahallesi
20657658,TR.06.004.0028,NEIGHBORHOOD,Karahamzalı Mahallesi
20340659,TR.06.004.0029,NEIGHBORHOOD,Kartaltepe Mahallesi
20251539,TR.06.004.0030,NEIGHBORHOOD,Kerişli Mahallesi
20383976,TR.06.004.0031,NEIGHBORHOOD,Kesikköprü Erdemli
20383975,TR.06.004.0032,NEIGHBORHOOD,Kesikköprü Kızılırmak Mahallesi
20383974,TR.06.004.0033,NEIGHBORHOOD,Kesikköprü Mahallesi
20340652,TR.06.004.0034,NEIGHBORHOOD,Koçyayla Mahallesi
20251540,TR.06.004.0035,NEIGHBORHOOD,Köseli Mahallesi
20657046,TR.06.004.0036,NEIGHBORHOOD,Küçükbayat Mahallesi
20383973,TR.06.004.0037,NEIGHBORHOOD,Küçükbıyık Mahallesi
20657654,TR.06.004.0038,NEIGHBORHOOD,Küçükboyalık Mahallesi
20657661,TR.06.004.0039,NEIGHBORHOOD,Küçükcamili Mahallesi
20383972,TR.06.004.0040,NEIGHBORHOOD,Kuyular Mahallesi
20657660,TR.06.004.0041,NEIGHBORHOOD,Sarıhüyük Mahallesi
20657045,TR.06.004.0042,NEIGHBORHOOD,Şehirban Mahallesi
20340660,TR.06.004.0043,NEIGHBORHOOD,Şentepe Mahallesi
20657663,TR.06.004.0044,NEIGHBORHOOD,Sırapınar Mahallesi
20657664,TR.06.004.0045,NEIGHBORHOOD,Sofular Mahallesi
20657665,TR.06.004.0046,NEIGHBORHOOD,Suyugüzel Mahallesi
20657659,TR.06.004.0047,NEIGHBORHOOD,Tatarhüyük Mahallesi
20657662,TR.06.004.0048,NEIGHBORHOOD,Tepeköy Mahallesi
20340655,TR.06.004.0049,NEIGHBORHOOD,Tolköy Mahallesi
20657043,TR.06.004.0050,NEIGHBORHOOD,Üçem Mahallesi
20657667,TR.06.004.0051,NEIGHBORHOOD,Yaylalıözü Mahallesi
20340653,TR.06.004.0052,NEIGHBORHOOD,Yeniköy Mahallesi
20657657,TR.06.004.0053,NEIGHBORHOOD,Yeniyapançarşak Mahallesi
20657668,TR.06.004.0054,NEIGHBORHOOD,Yeniyapanşeyhli Mahallesi
20340654,TR.06.004.0055,NEIGHBORHOOD,Yöreli Mahallesi
20657666,TR.06.004.0056,NEIGHBORHOOD,Yukarıhacıbekir Mahallesi
20268237,TR.06.005.0001,NEIGHBORHOOD,Acısu Mahallesi
20385378,TR.06.005.0002,NEIGHBORHOOD,Adaören Mahallesi
20385379,TR.06.005.0003,NEIGHBORHOOD,Akçakavak Mahallesi
20659371,TR.06.005.0004,NEIGHBORHOOD,Akçalı Mahallesi
20659372,TR.06.005.0005,NEIGHBORHOOD,Aşağıgüney Mahallesi
11485067,TR.06.005.0006,NEIGHBORHOOD,Ayvaşık Mahallesi
20659373,TR.06.005.0007,NEIGHBORHOOD,Bağözü Mahallesi
11484971,TR.06.005.0008,NEIGHBORHOOD,Başağaç Mahallesi
20659374,TR.06.005.0009,NEIGHBORHOOD,Başören Mahallesi
20659375,TR.06.005.0010,NEIGHBORHOOD,Batça Mahallesi
11484852,TR.06.005.0011,NEIGHBORHOOD,Beytepe Mahallesi
20659376,TR.06.005.0012,NEIGHBORHOOD,Boyalı Mahallesi
20659377,TR.06.005.0013,NEIGHBORHOOD,Çakıloba Mahallesi
20350980,TR.06.005.0014,NEIGHBORHOOD,Çantırlı Mahallesi
11484970,TR.06.005.0015,NEIGHBORHOOD,Cumhuriyet Mahallesi
20659378,TR.06.005.0016,NEIGHBORHOOD,Dağşeyhler Mahallesi
20659379,TR.06.005.0017,NEIGHBORHOOD,Dereli Mahallesi
20659370,TR.06.005.0018,NEIGHBORHOOD,Dibecik Mahallesi
20659380,TR.06.005.0019,NEIGHBORHOOD,Dibekören Mahallesi
20659381,TR.06.005.0020,NEIGHBORHOOD,Dikmen Mahallesi
20659382,TR.06.005.0021,NEIGHBORHOOD,Doğançalı Mahallesi
20659383,TR.06.005.0022,NEIGHBORHOOD,Doğanyurt Mahallesi
20659384,TR.06.005.0023,NEIGHBORHOOD,Dudaş Mahallesi
17564548,TR.06.005.0024,NEIGHBORHOOD,Fasıl Mahallesi
11485069,TR.06.005.0025,NEIGHBORHOOD,Gazipaşa Mahallesi
20664731,TR.06.005.0026,NEIGHBORHOOD,Geyikpınarı Mahallesi
20664730,TR.06.005.0027,NEIGHBORHOOD,Gürsöğut Mahallesi
11484972,TR.06.005.0028,NEIGHBORHOOD,Hacıkara Mahallesi
17564549,TR.06.005.0029,NEIGHBORHOOD,Harmancık Mahallesi
